자치구,동,지하철 주변 버스정류장 수,
노원구,중계본동,0,"중계, 상계"
노원구,중계1동,0,"중계, 노원"
노원구,중계4동,0,"중계, 노원, 당고개"
노원구,상계1동,2,"노원, 수락산, 당고개"
노원구,상계2동,2,"노원, 수락산, 당고개"
노원구,상계5동,0,"노원, 수락산, 당고개"
노원구,상계8동,0,"노원, 수락산, 당고개"
노원구,상계9동,1,"노원, 수락산, 당고개"
노원구,상계10동,0,"노원, 수락산, 당고개"
노원구,상계3.4동,2,"노원, 수락산, 당고개"
노원구,상계6.7동,0,"노원, 수락산, 당고개"
노원구,중계2.3동,0,"중계, 노원"
노원구,공릉1동,7,"태릉입구, 공릉, 화랑대"
은평구,녹번동,8,"녹번, 역촌"
은평구,불광1동,6,"독바위, 불광, 연신내"
은평구,갈현1동,0,"연신내, 구산"
은평구,갈현2동,1,"연신내, 구산"
은평구,구산동,2,"연신내, 구산"
은평구,대조동,8,"불광, 연신내, 역촌"
은평구,응암1동,0,"녹번, 응암, 홍제"
은평구,응암2동,0,"녹번, 응암, 증산"
은평구,신사1동,2,"새절, 응암"
은평구,신사2동,2,"새절, 응암"
은평구,증산동,2,"디지털미디어시티, 증산"
은평구,수색동,4,"디지털미디어시티, 수색, 월드컵경기장"
은평구,진관동,5,"구파발, 연신내"
은평구,불광2동,2,"독바위, 불광, 연신내"
은평구,응암3동,1,"녹번, 응암, 증산"
은평구,역촌동,5,"응암, 역촌, 구산"
서대문구,천연동,0,"독립문, 경복궁, 서울"
서대문구,홍제1동,4,"홍제, 무악재"
서대문구,홍제3동,1,"홍제, 무악재"
서대문구,홍제2동,1,"홍제, 무악재"
서대문구,홍은1동,0,"홍제, 불광, 독바위"
서대문구,홍은2동,0,"응암, 홍제, 가좌"
서대문구,남가좌1동,3,"가좌, 디지털미디어시티, 증산"
서대문구,남가좌2동,0,"가좌, 증산, 새절"
서대문구,북가좌1동,0,"디지털미디어시티, 가좌, 월드컵경기장"
서대문구,북가좌2동,1,"디지털미디어시티, 가좌, 월드컵경기장"
서대문구,충현동,1,"충정로, 서대문, 아현"
서대문구,북아현동,1,"아현, 서울, 충정로"
