자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
강북구,우이동,1,"수유, 미아사거리, 북한산우이, 미아, 4.30민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,인수동,0,"수유, 미아사거리, 북한산우이, 미아, 4.31민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
도봉구,쌍문1동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,쌍문2동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,쌍문3동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,쌍문4동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,방학1동,2,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,방학2동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,방학3동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,창1동,1,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,창2동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,창3동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,창4동,4,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,창5동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,도봉1동,0,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
도봉구,도봉2동,5,"창동, 쌍문, 도봉산, 방학, 녹천, 솔밭공원"
노원구,월계1동,4,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,월계2동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,월계3동,1,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,공릉2동,2,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,하계1동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,하계2동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,중계본동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,중계1동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
